library_id,library_name,assigned_ward_count,assigned_population
ahmedabad_library_019,Kaniyalal NathurAM Bhil Muni.Library,3,884295
ahmedabad_library_017,Kavi RAManlal Vashantbhai Desai Muni.Library,2,614844
ahmedabad_library_020,Umashankar Joshi Muni.Library,2,479494
ahmedabad_library_058,Thakkarbapanagar Library,2,450720
ahmedabad_library_081,Lilavati Lalbhai Library,1,441868
ahmedabad_library_044,"Surishwar Library,Vasana Branch Libarary",2,373311
ahmedabad_library_051,Vasantbhai Rami Library,2,300476
ahmedabad_library_043,"Kavi Shree ManBhatt Premanand Library,Naroda",2,297404
ahmedabad_library_005,Dr.Shyama Prashad Mukharji,2,256212
ahmedabad_library_008,Patel.K.K.Muni Library,1,228126
ahmedabad_library_025,Kaka Kalekar Muni.Library.,2,196586
ahmedabad_library_006,GorvardhanrAM Tripathi Muni Library,1,192746
ahmedabad_library_072,Kavi Ramanlal Vasantlal Desai Muncipal Library,1,173832
ahmedabad_library_027,Pannalal Patel Muni Library,1,168981
ahmedabad_library_064,Maneklal Jethalal Public Library,1,163564
ahmedabad_library_023,Narsinhrav divetiya Muni.Library,1,156080
ahmedabad_library_061,"sureshBhai Ramkumar Joshi Library,Sarspur",1,152154
ahmedabad_library_026,Manishankar Ratanji Bhatt Muni Library,1,151398
ahmedabad_library_007,Jayotindra Dave Muni Library,1,144688
ahmedabad_library_015,Ishawarlal Kachrabhai Parmar Muni.Library,1,141655
ahmedabad_library_004,"B.N.Library,Raipur",1,138978
ahmedabad_library_014,Jethabhai Garden Muni.Library,1,132549
ahmedabad_library_001,Chandrakant Baxi Library,2,132430
ahmedabad_library_056,Saijpur Library,1,123158
ahmedabad_library_077,Ahmedabad Bar Association Advocate Library,1,107290
ahmedabad_library_039,Pandit Dindayal Upadhyay Muni.Library,3,86465
ahmedabad_library_031,Mahatmagandhi Muni Library,2,72288
ahmedabad_library_053,"Kanaiyalal Nathuram Library,Kubernagar",1,66744
ahmedabad_library_050,RA.B.GI.U Library,1,63486
ahmedabad_library_079,Harivallabhdas Kalidas Library,1,45573
ahmedabad_library_063,Gyan Bhandar,1,43591
ahmedabad_library_038,Radhakishan Sharma Muni.Library,1,36189
ahmedabad_library_054,"MakrantBhai desai Library,Bodakdev",1,33394
ahmedabad_library_041,Sheth Maneklal Jethalal Sanchalit Library,1,27964
