source_file,source_record_id,source_category,name,normalized_name,description,latitude,longitude
data/cities/ahmedabad/source/amc/Library.geojson,1,amc_library_geojson,Chandrakant Baxi Library,chandrakant baxi library,,23.06356,72.566632
data/cities/ahmedabad/source/amc/Library.geojson,2,amc_library_geojson,"Kavi ramanlal vasantlal Desai,Nikol",kavi ramanlal vasantlal desai nikol,,23.02553,72.643914
data/cities/ahmedabad/source/amc/Library.geojson,3,amc_library_geojson,"V.N.Shah Library,Rakhiyal",v n shah library rakhiyal,,23.021774,72.623712
data/cities/ahmedabad/source/amc/Library.geojson,4,amc_library_geojson,"B.N.Library,Raipur",b n library raipur,,23.021184,72.594867
data/cities/ahmedabad/source/amc/Library.geojson,5,amc_library_geojson,Dr.Shyama Prashad Mukharji,dr shyama prashad mukharji,Dr.Shyama Prashad Mukharji Over Bridge Under 132 Foot RingRoad Vejalpur,23.011051,72.531455
data/cities/ahmedabad/source/amc/Library.geojson,6,amc_library_geojson,GorvardhanrAM Tripathi Muni Library,gorvardhanram tripathi muni library,Opp- Fire Briged RAMbaugh Maninagar,22.998323,72.602814
data/cities/ahmedabad/source/amc/Library.geojson,7,amc_library_geojson,Jayotindra Dave Muni Library,jayotindra dave muni library,Opp-lalakaka Holl Shahpur Ahmedabad,23.043314,72.580155
data/cities/ahmedabad/source/amc/Library.geojson,8,amc_library_geojson,Patel.K.K.Muni Library,patel k k muni library,Naroda GAM Na Nake Ahmedabad,23.074475,72.656816
data/cities/ahmedabad/source/amc/Library.geojson,9,amc_library_geojson,Swa.Lalbhai Kundivala Muni.Library,swa lalbhai kundivala muni library,Opp- Anjuman High School Chipavad JAMalpur Ahmedabad,23.018496,72.586658
data/cities/ahmedabad/source/amc/Library.geojson,10,amc_library_geojson,Chimanlal PurshottAMdas Gajjar Muni Library,chimanlal purshottamdas gajjar muni library,Jivankadashi ni Pole Shahpur Ahmedabad,23.039086,72.581442
data/cities/ahmedabad/source/amc/Library.geojson,11,amc_library_geojson,Dr. Babasaheb Ambedkar Muni.Library,dr babasaheb ambedkar muni library,Kundavadi achali GomtipurDarwaja Bahar Ahmedabad,23.012629,72.611697
data/cities/ahmedabad/source/amc/Library.geojson,12,amc_library_geojson,Kavi Narmad Muni.Library,kavi narmad muni library,Hajipura Garden Madhupura Bardolpura Ahmedabad,23.04215,72.590986
data/cities/ahmedabad/source/amc/Library.geojson,13,amc_library_geojson,Trithkar Udhyan Muni.Library,trithkar udhyan muni library,Trithkar Udhyan Opp-Rajashthan Hospital Ahmedabad,23.054098,72.598604
data/cities/ahmedabad/source/amc/Library.geojson,14,amc_library_geojson,Jethabhai Garden Muni.Library,jethabhai garden muni library,Civil Hospital Ahmedabad,23.049959,72.600938
data/cities/ahmedabad/source/amc/Library.geojson,15,amc_library_geojson,Ishawarlal Kachrabhai Parmar Muni.Library,ishawarlal kachrabhai parmar muni library,Opp-Shreeji vidhyalaya Bapunagar Ahmedabad,23.036847,72.625689
data/cities/ahmedabad/source/amc/Library.geojson,16,amc_library_geojson,Sakriben Chturbhai SINI.City.Muni.Library,sakriben chturbhai sini city muni library,Shahibaugh Dafnala Ahmedabad,23.057423,72.598729
data/cities/ahmedabad/source/amc/Library.geojson,17,amc_library_geojson,Kavi RAManlal Vashantbhai Desai Muni.Library,kavi ramanlal vashantbhai desai muni library,Opp-Krishnapark Tubevel Fa.Plot no28 Nikol Ahmedabad,22.975735,72.620434
data/cities/ahmedabad/source/amc/Library.geojson,18,amc_library_geojson,Chnadrkant Bakshi Muni.Library,chnadrkant bakshi muni library,Bh-Devpath Flat Arban Health Centre Nava Vadaj Ahmedabad,23.025995,72.635376
data/cities/ahmedabad/source/amc/Library.geojson,19,amc_library_geojson,Kaniyalal NathurAM Bhil Muni.Library,kaniyalal nathuram bhil muni library,Opp-Gurulrupa Pumping Station Kubernagar Ahmedabad,23.003244,72.57718
data/cities/ahmedabad/source/amc/Library.geojson,20,amc_library_geojson,Umashankar Joshi Muni.Library,umashankar joshi muni library,Opp- Circuit House Gayatri Temple Ahmedabad,23.023599,72.660854
