year,source_url,text_path,pdf_sha256,pages,text_chars,text_lines,extraction_method,confidence,notes
2015-16,https://www.mjlibrary.in/assets/img/pdf/mj_lib_1516-min.pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2015-16.txt,7339ef9d10b7b26ffc3593f1262da5a65a9a249e26a9b8a102de7690541c6e7f,113,421931,3725,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
2016-17,https://www.mjlibrary.in/assets/img/pdf/mj_discloser_rti_2016-17_mj%20library_final.pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2016-17.txt,618440c5d00ec987d1f6f0cd0dd5b1c079ef34e1592c83aa9dfdc893b7f8866e,108,340701,3177,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
2017-18,https://www.mjlibrary.in/assets/img/pdf/_RTI_201718_MJ%20Library_Discloser.pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2017-18.txt,0e050d3e8a241cab09230c33b6d73a4f56830afc809ae22a70b29065852dce57,107,336933,3216,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
2018-19,https://www.mjlibrary.in/assets/img/pdf/_RTI_201819_MJ_LIBRARY%20(2).pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2018-19.txt,8e7472752de650ed3f457207aff7c90046a99eab38ace4418970144b1d7eedda,107,344485,3254,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
2019-20,https://www.mjlibrary.in/assets/img/pdf/mjdiscloser2019.pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2019-20.txt,b99abb7121063d026c80f53f0b2cdb46a96725320790ee364743724f26252ba4,108,348238,3302,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
2020-21,https://www.mjlibrary.in/assets/img/pdf/2020-2021.pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2020-21.txt,10d221211b3ba2afb1adc2466463d4c522663d0408aadb9465a5f85407e14247,107,339979,3237,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
2021-22,https://www.mjlibrary.in/assets/img/pdf/2021_2022.pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2021-22.txt,97796c2a696dbf84d5341798b5ba6b956f2e545da1fb371e39c05d3036e744ab,98,298179,2895,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
2022-23,https://www.mjlibrary.in/assets/img/pdf/2022_2023.pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2022-23.txt,71cebe9f387cd9b1cc5001064eb3689bf1833dac71b85c2f7bc87ecdc8bf3bbb,98,279743,2774,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
2023-24,https://www.mjlibrary.in/assets/img/pdf/MJ_Library_Discloser_2023.pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2023-24.txt,30bd2da51cb76ba94ec4d8075f6ca8186962486fa81eed8e5340a49462d5854a,96,270641,2790,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
2024-25,https://www.mjlibrary.in/assets/img/pdf/MJLibraryDiscloser_07_06_2024.pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2024-25.txt,ea87ec15ded002d4aaea207904010f2cbafb7e903849dd86fc79ef3224a96490,91,255733,2604,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
2025-26,https://www.mjlibrary.in/assets/img/pdf/mj_discloser_rti_2025-26.pdf,data/cities/ahmedabad/source/libraries/disclosures_text/2025-26.txt,16c9d2f57bff5a5be5452eeb3042681054981e9ab6e090ef6a8949a93135647e,92,259570,2654,pdftotext -layout,medium,Full disclosure text export; key numeric tables are separately curated/manual-checked in CSV files.
