city,library_id,source_record_id,branch_code,source_name,name,address,postal_code,website,phone,latitude,longitude,physical_branch,service_tier,square_footage,ward_no,ward_name,neighbourhood_name,present_site_year,public_washroom,digital_innovation_hub,kids_stop,hours,notes
toronto,toronto_tpl_ab,1,AB,Albion,Albion,"1515 Albion Road, Toronto, ON, M9V 1B2",M9V 1B2,https://www.tpl.ca/albion,416-394-5170,43.7399900,-79.5845000,true,DL,32279,1,Etobicoke North,Mount Olive-Silverstone-Jamestown,1973,true,true,true,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_acd,2,ACD,Albert Campbell,Albert Campbell,"496 Birchmount Road, Toronto, ON, M1K 1N8",M1K 1N8,https://www.tpl.ca/albertcampbell,416-396-8890,43.7081400,-79.2691100,true,DL,28957,20,Scarborough Southwest,Clairlea-Birchmount,1971,true,true,true,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_ad,3,AD,Alderwood,Alderwood,"2 Orianna Drive, Toronto, ON, M8W 4Y1",M8W 4Y1,https://www.tpl.ca/alderwood,416-394-5310,43.6016800,-79.5471400,true,NL,7341,3,Etobicoke-Lakeshore,Alderwood,1999,false,false,false,Mon 10 a.m. to 8:30 p.m.; Tue 10 a.m. to 6 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_ag,4,AG,Agincourt,Agincourt,"155 Bonis Avenue, Toronto, ON, M1T 3W6",M1T 3W6,https://www.tpl.ca/agincourt,416-396-8943,43.7852200,-79.2934900,true,DL,27690,22,Scarborough-Agincourt,Tam O'Shanter-Sullivan,1991,true,true,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_ah,5,AH,Armour Heights,Armour Heights,"2140 Avenue Road, Toronto, ON, M5M 4M7",M5M 4M7,https://www.tpl.ca/armourheights,416-395-5430,43.7392200,-79.4217800,true,NL,2988,8,Eglinton-Lawrence,Bedford Park-Nortown,1982,false,false,false,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_al,6,AL,Answerline,Answerline,,,https://www.tpl.ca/contact,416-397-5981,,,false,RR,,,,,,false,false,false,Non-Branch Row,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_an,7,AN,Annette Street,Annette Street,"145 Annette Street, Toronto, ON, M6P 1P3",M6P 1P3,https://www.tpl.ca/annette,416-393-7692,43.6634000,-79.4663700,true,NL,10309,4,Parkdale-High Park,Junction Area,1909,true,false,false,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_ap,8,AP,Amesbury Park,Amesbury Park,"1565 Lawrence Avenue West, Toronto, ON, M6L 1A8",M6L 1A8,https://www.tpl.ca/amesburypark,416-395-5420,43.7064600,-79.4858200,true,NL,6320,5,York South-Weston,Brookhaven-Amesbury,1967,true,false,false,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_bb,9,BB,Brookbanks,Brookbanks,"210 Brookbanks Drive, Toronto, ON, M3A 2T8",M3A 2T8,https://www.tpl.ca/brookbanks,416-395-5480,43.7595200,-79.3258000,true,NL,7933,16,Don Valley East,Fenside-Parkwoods,1968,true,false,false,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_bc,10,BC,Black Creek,Black Creek,"North York Sheridan Mall, 1700 Wilson Avenue Unit 63-64, Toronto, ON, M3L 1B2",M3L 1B2,https://www.tpl.ca/blackcreek,416-395-5470,43.7215600,-79.5113000,true,NL,5782,7,Humber River-Black Creek,Oakdale-Beverley Heights,2002,false,false,false,Mon 9 a.m. to 8 p.m.; Tue 9 a.m. to 8 p.m.; Wed 9 a.m. to 8 p.m.; Thu 9 a.m. to 8 p.m.; Fri 9 a.m. to 8 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_bd,11,BD,Bendale,Bendale,"1515 Danforth Road, Toronto, ON, M1J 1H5",M1J 1H5,https://www.tpl.ca/bendale,416-396-8910,43.7510900,-79.2440300,true,NL,8500,21,Scarborough Centre,Bendale South,1961,true,false,false,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_be,12,BE,Beaches,Beaches,"2161 Queen Street East, Toronto, ON, M4L 1J1",M4L 1J1,https://www.tpl.ca/beaches,416-393-7703,43.6701100,-79.2984800,true,NL,8000,19,Beaches-East York,The Beaches,1916,true,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_bf,13,BF,Barbara Frum,Barbara Frum,"20 Covington Road, Toronto, ON, M6A 3C1",M6A 3C1,https://www.tpl.ca/barbarafrum,416-395-5440,43.7207100,-79.4321500,true,DL,44319,8,Eglinton-Lawrence,Englemount-Lawrence,1992,true,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_bkone,14,BKONE,Bookmobile One,Bookmobile One,,,https://www.tpl.ca/bookmobiles,416-395-5560,,,false,OT,,,,,,false,false,false,Non-Branch Row,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_bktwo,15,BKTWO,Bookmobile Two,Bookmobile Two,,,https://www.tpl.ca/bookmobiles,416-395-5560,,,false,OT,,,,,,false,false,false,Non-Branch Row,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_bl,16,BL,Bloor/Gladstone,Bloor/Gladstone,"1101 Bloor Street West, Toronto, ON, M6H 1M7",M6H 1M7,https://www.tpl.ca/bloorgladstone,416-393-7674,43.6599200,-79.4339900,true,DL,21014,9,Davenport,Dufferin Grove,1913,true,false,true,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_br,17,BR,Brentwood,Brentwood,"36 Brentwood Road North, Toronto, ON, M8X 2B5",M8X 2B5,https://www.tpl.ca/brentwood,416-394-5240,43.6474700,-79.5141700,true,DL,17500,3,Etobicoke-Lakeshore,Kingsway South,1955,true,false,true,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_brw,18,BRW,Bridlewood,Bridlewood,"Bridlewood Mall, 230-2900 Warden Avenue, Toronto, ON, M1W 2S8",M1W 2S8,https://www.tpl.ca/bridlewood,416-396-8960,43.7997600,-79.3187800,true,NL,18970,22,Scarborough-Agincourt,L'Amoreaux West,1976,true,false,true,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_bur,19,BUR,Burrows Hall,Burrows Hall,"1081 Progress Avenue, Toronto, ON, M1B 5Z6",M1B 5Z6,https://www.tpl.ca/burrowshall,416-396-8740,43.7939500,-79.2341000,true,NL,6500,23,Scarborough North,Malvern East,1998,false,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_cc,20,CC,Cliffcrest,Cliffcrest,"3017 Kingston Road, Toronto, ON, M1M 1P1",M1M 1P1,https://www.tpl.ca/cliffcrest,416-396-8916,43.7256600,-79.2304900,true,NL,4859,20,Scarborough Southwest,Cliffcrest,2008,true,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
